Time,Acceleration,PositionSetpoint,PositionSetpointError,VelocitySetpoint,VelocitySetpointError
0,-0.0,0.0,-5.025903471184e-310,29.25,29.25
100,-11.200017641680335,55.3087290947177,55.3087290947177,15.365668172918594,15.365668172918594
200,-11.767231084642344,58.10978313403626,58.10990736515511,-13.106153271778226,nan
300,-1.163152830843919,5.743964596760093,5.744088534591775,-29.13556917787966,nan
400,10.545171567846545,-52.07492132269898,-52.074797384867296,-17.50495701994235,nan
500,12.242373831734566,-60.45616707029415,-60.45604342557686,10.74409150610967,nan
600,2.3172047704273204,-11.442986520628741,-11.442862160714698,28.793172056000767,nan
700,-9.807816594736945,48.43366219623182,48.43378559753038,19.507281311549136,nan
800,-12.62172820944081,62.329522021929925,62.32964536052768,-8.297964425980924,nan
900,-3.453126135863633,17.052474745005593,17.052598372691065,-28.225487662339273,nan
1000,8.99372203078008,-44.41344212730903,-44.41331861090046,-21.356974202279797,nan
1100,12.902326024030076,-63.71519024212383,-63.71506672571526,5.786911336198138,nan
1200,4.562029103856383,-22.528538784475963,-22.528415020210325,27.436957746766737,nan
1300,-8.109257620265677,40.045716643287285,40.04584037755593,23.0395630850809,nan
1400,-13.081971785682974,64.60232980584183,64.6024523972085,-3.2305795440742457,nan
1500,-5.635237251959135,27.828332108440172,27.82845475303276,-26.433752027334815,nan
1600,7.161343704365112,-35.364660268469684,-35.36453409511631,-24.541882829754194,nan
1700,13.159259886727952,-64.98399944063185,-64.98387504153719,0.6489706324184863,nan
1800,6.664353445765488,-32.91038738649623,-32.910262987401566,25.22371991636695,nan
1900,-6.157397074100319,30.406899131359598,30.407025247760206,25.852178791276042,nan
2000,-13.133585599579188,64.85721283742808,64.85733678284839,1.937716039442375,nan
2100,-7.6413255408573475,37.73494094250542,37.73506455312978,-23.816329104068277,nan
2200,5.1052729389253955,-25.211224389755035,-25.211100779130675,-26.960198782015826,nan
2300,13.005149808324598,-64.22296201641775,-64.22283896350756,-4.509241382111498,nan
2400,8.558509385437793,-42.264243878705145,-42.26411947967591,22.222591480195785,nan
2500,-4.013203464977825,19.81828871593987,19.818413114969108,27.85727328823227,nan
2600,-12.7749574369425,63.086209565148145,63.0863328095409,7.0454849334306,nan
2700,-9.408728630695137,46.46285743553154,46.462981774445495,-20.454976973402044,nan
2800,2.889733363896332,-14.270288216772007,-14.270163668803649,-28.536383303207455,nan
2900,12.444809586445077,-61.45584980960531,-61.45572651082755,-9.526602287609945,nan
3000,10.185330880922221,-50.29793027615911,-50.297807454201845,18.527315982401873,nan
3100,-1.7436530361796778,8.610632277430508,8.610756130662637,28.992215246269673,nan
3200,-12.017289442470183,59.34463922207497,59.3447628676233,11.9331803644023,nan
3300,-10.882239744053807,53.739455526191634,53.73957917857767,-16.454691162372676,nan
3400,0.5839297921948073,-2.8836039120731223,-2.8834808253592956,-29.22120253800057,nan
3500,11.495742063585206,-56.76909661029731,-56.76897259282991,-14.246389303443625,nan
3600,11.49400237536162,-56.76050555734132,-56.76038105850494,14.2533194132873,nan
3700,0.5803623110161427,-2.865986721067371,-2.865862909132909,29.221553506328505,nan
3800,-10.88424820844591,53.749373868868695,53.74949777880054,16.448129795289088,nan
3900,-12.015832142309376,59.33744267807099,59.33756635556175,-11.940424993541665,nan
4000,-1.7401134681500166,8.593152929135883,8.593275965854094,-28.993265405161555,nan
4100,10.18759240659521,-50.30909830417387,-50.30897463334177,-18.52117469637783,nan
4200,12.44364607674401,-61.45010408268646,-61.44997974160324,9.53410475167793,nan
4300,2.8862494037629958,-14.253083475372817,-14.252959134289597,28.538124435873865,nan
4400,-9.411225522726482,46.475187766550526,46.47531196967132,20.449303819884285,nan
4500,-12.774096821384703,63.081959611776306,63.082083814897096,-7.053186530674642,nan
4600,-4.00980237239362,19.801493197005527,19.80161711139825,-27.859691771477138,nan
4700,8.561222107320969,-42.277640036152924,-42.277516063762434,-22.21743084780798,nan
4800,13.004598820649953,-64.22024108962938,-64.22011740511095,4.517081852695409,nan
4900,5.101981325160102,-25.194969506963464,-25.194844961640246,26.963275692828834,nan
5000,-7.644232867361911,37.74929811042919,37.74942355149169,23.81172137129977,nan
5100,-13.133348550896933,64.85604222665151,64.85616486897148,-1.9456340369391636,nan
